time,voltage,current
1610884247245,3783000,376
1610884247394,3783000,925
1610884247545,3783000,1315
1610884247717,3783000,984
1610884247981,3783000,1144
1610884248166,3783000,1266
1610884248353,3783000,1111
1610884248569,3783000,1375
1610884248717,3783000,1041
1610884248944,3783000,1103
1610884249189,3783000,946
1610884249479,3675000,1421
1610884249698,3675000,1373
1610884249908,3675000,1228
1610884250231,3675000,1556
1610884250428,3675000,1068
1610884250629,3675000,1190
1610884250875,3675000,1037
1610884251131,3675000,1222
1610884251463,3675000,1297
1610884251659,3675000,1233
1610884251851,3675000,1495
1610884252070,3675000,1851
1610884252397,3675000,1620
1610884252644,3675000,1201
1610884252852,3675000,1732
1610884253186,3675000,1825
1610884253418,3675000,1368
1610884253680,3675000,1851
1610884253996,3675000,1847
1610884254287,3675000,1777
1610884254509,3675000,1437
1610884254702,3675000,1594
1610884254931,3675000,1549
1610884255096,3675000,1670
1610884255352,3675000,1748
1610884255526,3675000,1958
1610884255760,3675000,1656
1610884255978,3675000,1565
1610884256223,3675000,1659
1610884256464,3675000,1471
1610884256728,3675000,1676
1610884256957,3675000,1663
1610884257212,3675000,1625
1610884257418,3675000,1469
1610884257617,3675000,1389
1610884257816,3675000,1495
1610884258168,3675000,1245
1610884258389,3675000,1580
1610884258587,3675000,1595
1610884258747,3675000,1585
1610884259040,3675000,1640
1610884259343,3675000,1268
1610884259601,3675000,1035
1610884259851,3675000,1233
1610884260135,3675000,1290
1610884260435,3675000,1375
1610884260699,3675000,1421
1610884260964,3675000,1420
1610884261216,3675000,1094
1610884261501,3675000,1161
1610884261755,3675000,1049
1610884262016,3675000,1175
1610884262292,3675000,1334
1610884262568,3675000,1263
1610884262804,3675000,1389
1610884263066,3675000,1473
1610884263323,3675000,1240
1610884263580,3675000,1280
1610884263818,3675000,1262
1610884264081,3675000,1351
1610884264342,3675000,1159
1610884264628,3675000,1409
1610884264930,3675000,1414
1610884265176,3675000,1660
1610884265403,3675000,1362
1610884265679,3675000,1374
1610884267450,3675000,1721
1610884267730,3675000,1954
1610884268032,3675000,1826
1610884268425,3675000,2332
1610884268738,3675000,2451
1610884269065,3675000,2442
1610884269435,3675000,1790
1610884269781,3675000,1736
1610884270077,3675000,1798
1610884270340,3675000,1378
1610884270667,3675000,1989
1610884270930,3675000,1598
1610884271212,3675000,1711
1610884271628,3675000,1499
1610884272012,3675000,1688
1610884272289,3675000,1603
1610884272576,3675000,1773
1610884272801,3675000,1926
1610884273037,3675000,2250
1610884273243,3675000,1656
1610884273419,3675000,1552
1610884273637,3675000,1224
1610884273847,3675000,1658
