time,current,power
0.0000,1.2989,4.9984
0.0002,1.2809,4.9262
0.0004,1.2877,4.9576
0.0006,1.2783,4.9162
0.0008,1.2909,4.9648
0.0010,1.2992,5.0045
0.0012,1.3043,5.0188
0.0014,1.2963,4.9858
0.0016,1.2619,4.8634
0.0018,1.258,4.8406
0.0020,1.2749,4.9059
0.0022,1.2368,4.7666
0.0024,1.3075,5.0234
0.0026,1.3292,5.1226
0.0028,1.3064,5.0217
0.0030,1.3652,5.2478
0.0032,1.4155,5.4241
0.0034,1.6331,6.2579
0.0036,1.6063,6.1458
0.0038,1.6266,6.2332
0.0040,1.7315,6.6283
0.0042,1.6794,6.4287
0.0044,1.6706,6.3984
0.0046,1.6191,6.214
0.0048,1.5559,5.9623
0.0050,1.6265,6.2425
0.0052,1.5035,5.7675
0.0054,1.6384,6.2816
0.0056,1.5543,5.9716
0.0058,1.5427,5.9146
0.0060,1.5949,6.1118
0.0062,1.6078,6.1708
0.0064,1.5468,5.9302
0.0066,1.5486,5.9405
0.0068,1.6081,6.1717
0.0070,1.5575,5.9747
0.0072,1.6256,6.2262
0.0074,1.6545,6.3466
0.0076,1.5885,6.0934
0.0078,1.624,6.2298
0.0080,1.5565,5.9678
0.0082,1.6559,6.3485
0.0084,1.6707,6.4022
0.0086,1.6274,6.2426
0.0088,1.5721,6.0307
0.0090,1.6042,6.1538
0.0092,1.5676,6.0163
0.0094,1.6177,6.1991
0.0096,1.5466,5.9545
0.0098,1.4194,5.4563
0.0100,1.475,5.6612
0.0102,1.5428,5.9336
0.0104,1.4651,5.6261
0.0106,1.5791,6.0542
0.0108,1.547,5.9436
0.0110,1.5461,5.931
0.0112,1.4838,5.6979
0.0114,1.5378,5.9114
0.0116,1.5496,5.9598
0.0118,1.5276,5.8597
0.0120,1.5698,6.028
0.0122,1.572,6.0334
0.0124,1.5283,5.884
0.0126,1.4042,5.4034
0.0128,1.4877,5.7097
0.0130,1.5368,5.9076
0.0132,1.5146,5.8219
0.0134,1.5082,5.7916
0.0136,1.5266,5.8651
0.0138,1.5076,5.7862
0.0140,1.5796,6.0687
0.0142,1.5095,5.8085
0.0144,1.5106,5.8037
0.0146,1.504,5.7755
0.0148,1.5487,5.9533
0.0150,1.5115,5.798
0.0152,1.5724,6.0443
0.0154,1.5316,5.8784
0.0156,1.5517,5.9617
0.0158,1.5492,5.9552
0.0160,1.5246,5.8544
0.0162,1.5674,6.0189
0.0164,1.5216,5.846
0.0166,1.5394,5.9176
0.0168,1.5193,5.84
0.0170,1.5101,5.7988
0.0172,1.5693,6.0324
0.0174,1.5297,5.877
0.0176,1.5264,5.8646
0.0178,1.5368,5.9138
0.0180,1.4807,5.692
0.0182,1.5022,5.7713
0.0184,1.555,5.9714
0.0186,1.5975,6.1409
0.0188,1.5606,5.9959
0.0190,1.551,5.9619
0.0192,1.5521,5.96
0.0194,1.5144,5.8184
