time,voltage,current
1610864353175,3966000,164
1610864353206,3966000,164
1610864353233,3966000,164
1610864353263,3966000,164
1610864353292,3966000,164
1610864353322,3966000,464
1610864353350,3966000,464
1610864353378,3966000,464
1610864353408,3966000,464
1610864353433,3966000,464
1610864353460,3966000,464
1610864353492,3966000,398
1610864353521,3966000,398
1610864353551,3966000,398
1610864353579,3966000,398
1610864353605,3966000,398
1610864353632,3966000,398
1610864353658,3966000,398
1610864353687,3966000,154
1610864353714,3966000,154
1610864353743,3966000,154
1610864353777,3966000,154
1610864353806,3966000,154
1610864353835,3966000,154
1610864353863,3966000,95
1610864353893,3966000,95
1610864353921,3966000,95
1610864353953,3966000,95
1610864353980,3966000,95
1610864354009,3966000,95
1610864354035,3966000,175
1610864354068,3966000,175
1610864354094,3966000,175
1610864354123,3966000,175
1610864354153,3966000,175
1610864354181,3966000,175
1610864354213,3966000,13
1610864354241,3966000,13
1610864354271,3966000,13
1610864354300,3966000,13
1610864354330,3966000,13
1610864354360,3966000,13
1610864354391,3966000,116
1610864354418,3966000,116
1610864354444,3966000,116
1610864354472,3966000,116
1610864354498,3966000,116
1610864354526,3966000,116
1610864354553,3966000,89
1610864354580,3966000,89
1610864354608,3966000,89
1610864354634,3966000,89
1610864354666,3966000,89
1610864354698,3966000,89
1610864354736,3966000,120
1610864354766,3966000,120
1610864354796,3966000,120
1610864354832,3966000,120
1610864354867,3966000,120
1610864354908,3966000,109
1610864354940,3966000,109
1610864354975,3966000,109
1610864355014,3966000,109
1610864355051,3966000,109
1610864355083,3966000,130
1610864355117,3966000,130
1610864355158,3970000,130
1610864355187,3970000,130
1610864355213,3970000,130
1610864355249,3970000,186
1610864355283,3970000,186
1610864355317,3970000,186
1610864355347,3970000,186
1610864355379,3970000,186
1610864355414,3970000,186
1610864355448,3970000,29
1610864355479,3970000,29
1610864355516,3970000,29
1610864355557,3970000,29
1610864355588,3970000,29
1610864355615,3970000,177
1610864355645,3970000,177
1610864355675,3970000,177
1610864355713,3970000,177
1610864355753,3970000,177
1610864355788,3970000,96
1610864355820,3970000,96
1610864355855,3970000,96
1610864355895,3970000,96
1610864355930,3970000,96
1610864355960,3970000,67
1610864355995,3970000,67
1610864356032,3970000,67
1610864356066,3970000,67
1610864356099,3970000,67
1610864356138,3970000,203
1610864356174,3970000,203
1610864356216,3970000,203
1610864356250,3970000,203
1610864356290,3970000,203
1610864356320,3970000,122
1610864356356,3970000,122
1610864356395,3970000,122
1610864356431,3970000,122
1610864356461,3970000,122
1610864356491,3970000,106
1610864356524,3970000,106
1610864356560,3970000,106
1610864356599,3970000,106
1610864356638,3970000,106
1610864356678,3970000,123
1610864356715,3970000,123
1610864356750,3970000,123
1610864356780,3970000,123
1610864356814,3970000,123
1610864356855,3970000,72
1610864356890,3970000,72
1610864356920,3970000,72
1610864356957,3970000,72
1610864356995,3970000,72
1610864357029,3970000,229
1610864357060,3970000,229
1610864357098,3970000,229
1610864357135,3970000,229
1610864357170,3970000,229
1610864357200,3970000,119
1610864357238,3970000,119
1610864357277,3970000,119
1610864357316,3970000,119
1610864357350,3970000,119
1610864357378,3970000,92
1610864357413,3970000,92
1610864357454,3970000,92
1610864357485,3970000,92
1610864357513,3970000,92
1610864357550,3970000,60
1610864357578,3970000,60
1610864357613,3970000,60
1610864357642,3970000,60
1610864357673,3970000,60
1610864357709,3970000,110
1610864357738,3970000,110
1610864357776,3970000,110
1610864357815,3970000,110
1610864357847,3970000,110
1610864357879,3970000,110
1610864357916,3970000,141
1610864357950,3970000,141
1610864357984,3970000,141
1610864358017,3970000,141
1610864358056,3970000,8
1610864358091,3970000,8
1610864358133,3970000,8
1610864358173,3970000,8
1610864358211,3970000,8
1610864358243,3970000,103
1610864358277,3970000,103
1610864358317,3970000,103
1610864358351,3970000,103
1610864358383,3970000,103
1610864358417,3970000,142
1610864358458,3970000,142
1610864358491,3970000,142
1610864358525,3970000,142
1610864358558,3970000,142
1610864358594,3970000,182
1610864358631,3970000,182
1610864358665,3970000,182
1610864358698,3970000,182
1610864358738,3970000,182
1610864358779,3970000,86
1610864358819,3970000,86
1610864358856,3970000,86
1610864358895,3970000,86
1610864358931,3970000,86
1610864358964,3970000,65
1610864358999,3970000,65
1610864359038,3970000,65
1610864359079,3970000,65
1610864359117,3970000,103
1610864359154,3970000,103
1610864359185,3970000,103
