time,voltage,current
1610889162685,3789000,924
1610889162850,3789000,1185
1610889163002,3789000,1555
1610889163205,3789000,1581
1610889163572,3789000,1529
1610889163835,3789000,1749
1610889164041,3789000,1775
1610889164201,3789000,1890
1610889164338,3789000,1794
1610889164533,3789000,1925
1610889164697,3789000,1665
1610889165002,3789000,1517
1610889165005,3789000,1517
1610889165401,3789000,1688
1610889165451,3789000,1688
1610889165820,3789000,1548
1610889165830,3789000,1548
1610889166136,3789000,1455
1610889166210,3789000,1455
1610889166447,3789000,1378
1610889166659,3789000,1512
1610889166876,3789000,1437
1610889167107,3789000,1564
1610889167370,3789000,1544
1610889167561,3789000,1797
1610889167720,3789000,2021
1610889167837,3789000,1920
1610889168179,3789000,1795
1610889168325,3789000,1795
1610889168730,3789000,1673
1610889168870,3789000,1673
1610889169168,3789000,1578
1610889169186,3789000,1578
1610889169556,3542000,2231
1610889169596,3542000,2231
1610889170079,3542000,1914
1610889170209,3542000,1414
1610889170576,3542000,1403
1610889170655,3542000,1522
1610889171002,3542000,1680
1610889171027,3542000,1680
1610889171467,3542000,1329
1610889171594,3542000,1795
1610889171753,3542000,1734
1610889172059,3542000,1428
1610889172149,3542000,1428
1610889172370,3542000,1396
1610889172480,3542000,1784
1610889172807,3542000,1449
1610889172818,3542000,1449
1610889173104,3542000,1598
1610889173183,3542000,1598
1610889173514,3542000,1340
1610889173617,3542000,1340
1610889173895,3542000,1349
1610889174158,3542000,1349
1610889174639,3794000,1660
1610889174627,3794000,1660
1610889175026,3794000,1175
1610889175066,3794000,1175
1610889175415,3794000,1268
1610889175522,3794000,1268
1610889175711,3794000,1520
1610889175773,3794000,1164
1610889176182,3794000,1698
1610889176219,3794000,1698
1610889176561,3794000,1574
1610889176690,3794000,1185
1610889176935,3794000,1361
1610889177141,3794000,1534
1610889177383,3794000,1166
1610889177613,3794000,1559
1610889177732,3794000,1454
1610889178088,3794000,1641
1610889178116,3794000,1641
1610889178493,3794000,1273
1610889178548,3794000,1158
1610889178846,3794000,1451
1610889178883,3794000,1451
1610889179310,3794000,1185
1610889179321,3794000,1185
1610889179805,3794000,1370
1610889179812,3794000,1370
1610889180061,3794000,1123
1610889180209,3794000,1335
1610889180501,3794000,1440
1610889180732,3794000,1678
1610889180909,3794000,1475
1610889181142,3794000,1347
1610889181372,3794000,1529
1610889181548,3794000,1598
1610889181719,3794000,1502
1610889181952,3794000,1619
1610889182083,3794000,1606
1610889182355,3794000,1405
1610889182466,3794000,1497
1610889182756,3794000,1497
1610889182949,3794000,1230
1610889183199,3794000,1531
1610889183308,3794000,1508
1610889183586,3794000,1470
1610889183807,3794000,1200
1610889184026,3794000,1631
1610889184213,3794000,1480
1610889184346,3794000,1547
1610889184586,3794000,1570
1610889184809,3794000,1627
1610889184913,3794000,1696
1610889185299,3794000,1569
1610889185334,3794000,1569
1610889185687,3794000,1469
1610889185734,3794000,1469
1610889186133,3794000,1396
1610889186142,3794000,1396
1610889186484,3794000,1756
1610889186571,3794000,1756
1610889186852,3794000,1497
1610889186955,3794000,1497
1610889188230,3794000,1312
1610889188259,3794000,1312
1610889188615,3737000,1644
1610889188736,3737000,1402
1610889189037,3737000,1421
1610889189139,3737000,1421
1610889189409,3737000,1349
1610889189600,3737000,1510
1610889189782,3737000,1286
1610889189980,3737000,1480
1610889190187,3737000,1350
1610889191189,3737000,394
1610889191376,3787000,1405
1610889191621,3787000,1385
1610889191738,3787000,1685
1610889192022,3787000,1493
1610889192166,3787000,1280
1610889192507,3787000,1451
1610889192506,3787000,1451
1610889192943,3787000,1310
1610889192976,3787000,1310
1610889193464,3787000,1154
1610889193525,3787000,1154
1610889193880,3787000,1923
1610889193934,3787000,1405
1610889194344,3787000,1533
1610889194356,3787000,1533
1610889194705,3787000,1935
1610889194745,3787000,1935
1610889195180,3787000,1523
1610889195246,3787000,1523
1610889195543,3787000,2057
1610889195618,3787000,2057
1610889196029,3787000,1769
1610889196032,3787000,1769
1610889196365,3787000,1360
1610889196356,3787000,1360
1610889196774,3787000,1521
1610889196913,3787000,1521
1610889197198,3787000,1511
1610889197270,3787000,1405
1610889197689,3787000,1488
1610889197741,3787000,1488
1610889198128,3787000,1802
1610889198226,3787000,1550
1610889198541,3787000,1402
